origen,destino,nombre_calle,distancia,direccion,factor_trafico
479440916,479440917,3a Avenida,199.93,norte-este,1.0
479440916,282481394,Boulevard Liberación,159.91,norte-oeste,1.0
479440916,479440914,14 Calle,68.21,sur-este,1.0
479440917,479440916,3a Avenida,199.93,sur-oeste,1.0
479440917,283273731,13 Calle,109.59,norte-oeste,1.0
479440917,479440915,3a Avenida,139.55,norte-este,1.0
479440918,479440917,13 Calle,68.11,norte-oeste,1.0
479440918,479440914,4a Avenida,193.94,sur-oeste,1.0
479440919,479440911,4a Avenida A,139.64,norte-este,1.0
479440919,479440918,13 Calle,70.13,norte-oeste,1.0
479440919,479440912,4a Avenida A,193.07,sur-oeste,1.0
479440921,4087230806,13 Calle,12.91,norte-oeste,1.0
479440921,479440906,5a Avenida,139.7,norte-este,1.0
479440922,790843467,13 Calle,62.68,norte-oeste,1.0
479440922,479440910,6a Avenida,191.52,sur-oeste,1.0
479440924,616286902,13 Calle,97.95,norte-oeste,1.0
479440924,7047606323,7a Avenida,77.21,norte-este,1.0
479440996,410461952,6a Avenida,141.73,sur-oeste,1.0
479440996,410456359,11 Calle,13.65,norte-oeste,1.0
479440997,283273733,2a Avenida,139.03,norte-este,1.0
479440997,808125566,Calle Montúfar,11.08,norte-oeste,1.0
479441026,11583042405,Plaza España,12.77,norte-este,1.0
479441026,7047606323,Plaza España,94.97,sur-este,1.0
481805122,12318905768,14 Calle,99.84,norte-oeste,1.0
481805122,479440924,7a Avenida,192.63,norte-este,1.0
481805122,990336857,14 Calle,13.14,sur-este,1.0
481805124,481805126,Sin nombre,20.31,norte-este,1.0
481805124,7047752412,14 Calle,11.17,sur-este,1.0
481805124,410453224,Avenida Reforma,102.68,sur-oeste,1.0
481805126,7047752412,Avenida Reforma,16.68,sur-oeste,1.0
481805126,481805128,Sin nombre,52.87,norte-este,1.0
481805128,481805139,Avenida Reforma,8.15,norte-este,1.0
481805128,410453351,Sin nombre,12.03,norte-este,1.0
481805137,4026532936,Avenida Reforma,24.64,sur-oeste,1.0
481805137,481805139,Sin nombre,46.57,sur-este,1.0
481805139,1507538281,Avenida Reforma,152.5,norte-este,1.0
481805139,410453351,Sin nombre,10.74,sur-este,1.0
516392098,516392107,Avenida Reforma,75.3,sur-oeste,1.0
516392101,516392098,Sin nombre,23.82,sur-oeste,1.0
516392101,4026495402,Avenida Reforma,122.45,sur-oeste,1.0
516392104,323585956,11 Calle,13.42,norte-oeste,1.0
516392107,516392104,11 Calle,217.84,norte-oeste,1.0
516392107,4026495402,Sin nombre,30.24,sur-este,1.0
516392107,3820122586,Avenida Reforma,137.29,sur-oeste,1.0
516392110,3820122589,Sin nombre,46.65,sur-este,1.0
516392110,6037880180,Avenida Reforma,59.61,sur-oeste,1.0
516392127,516392130,Sin nombre,23.07,sur-oeste,1.0
516392127,516392128,Avenida Reforma,17.54,sur-oeste,1.0
516392128,516392130,Sin nombre,8.14,sur-oeste,1.0
516392128,410414371,Avenida Reforma,233.4,sur-oeste,1.0
516392130,410453224,Sin nombre,11.39,sur-oeste,1.0
528142594,410699008,Avenida Las Américas,110.24,norte-este,1.0
528142720,11098923841,11 Calle,54.97,sur-este,1.0
528142720,410699009,Avenida Las Américas,24.14,norte-este,1.0
528148701,3834877579,6a Calle,10.28,sur-este,1.0
528148701,12194576841,"['7a Calle', '2a Avenida']",81.14,sur-oeste,1.0
528171278,12182615094,Avenida Hincapié,73.73,sur-oeste,1.0
528171278,528223038,6a Calle,120.2,sur-este,1.0
528171278,528223064,Avenida Hincapié,207.91,norte-este,1.0
528171280,611744650,8a Calle,69.35,sur-este,1.0
528171280,12182615094,Avenida Hincapié,107.44,norte-este,1.0
528171280,957679548,Avenida Hincapié,158.37,sur-oeste,1.0
528176344,12092704997,11 Calle,26.26,sur-este,1.0
528176344,528177352,Avenida Hincapié,62.98,sur-oeste,1.0
528176351,528202619,11 Calle,73.09,sur-este,1.0
528176508,11658600808,11 Calle,29.06,norte-oeste,1.0
528177349,528176351,Sin nombre,55.14,norte-este,1.0
528177349,12092704997,Avenida Hincapié,31.35,norte-este,1.0
528177352,528177349,Avenida Hincapié,26.82,norte-este,1.0
528177373,12092704999,11 Calle,21.3,norte-oeste,1.0
528177373,528178078,Sin nombre,63.03,norte-oeste,1.0
528178078,410448234,Avenida Hincapié,42.62,sur-oeste,1.0
528178078,957679548,Avenida Hincapié,110.07,norte-este,1.0
528202615,528202619,Sin nombre,32.22,sur-oeste,1.0
528202615,528176508,11 Calle,18.7,norte-oeste,1.0
528202619,528202621,Sin nombre,6.01,sur-este,1.0
528202621,528202623,Sin nombre,12.65,sur-este,1.0
528202623,5399456167,Sin nombre,4.87,norte-este,1.0
528202626,528202628,Sin nombre,5.65,norte-oeste,1.0
528202628,410450394,15 Avenida,17.57,norte-este,1.0
528202628,528202630,Sin nombre,12.92,norte-oeste,1.0
528202630,528202615,Sin nombre,3.73,sur-oeste,1.0
528214431,5399456164,11 Calle,23.42,norte-oeste,1.0
528214672,528217379,Avenida Las Américas,126.95,sur-oeste,1.0
528214862,410698239,Avenida Las Américas,28.07,sur-oeste,1.0
528214862,528214431,Sin nombre,39.66,sur-oeste,1.0
528215918,528202626,11 Calle,15.92,norte-oeste,1.0
528215918,410450394,Sin nombre,30.24,norte-oeste,1.0
528216862,631824894,11 Calle,17.35,sur-este,1.0
528216862,11867040946,15 Avenida A,13.46,sur-oeste,1.0
528217379,3834877533,Avenida Las Américas,77.31,sur-oeste,1.0
528221928,528222059,9a Calle,11.3,sur-este,1.0
528221928,4038754533,15 Avenida,137.14,sur-oeste,1.0
528222043,528222059,9a Calle,160.57,norte-oeste,1.0
528222043,528214862,Avenida Las Américas,159.64,sur-oeste,1.0
528222059,528221928,9a Calle,11.3,norte-oeste,1.0
528222059,528222460,15 Avenida,73.34,norte-este,1.0
528222059,528222043,9a Calle,160.57,sur-este,1.0
528222460,5764198882,8a Calle,61.88,sur-este,1.0
528222460,528222540,15 Avenida,60.92,norte-este,1.0
528222540,12196993485,7a Calle A,12.74,sur-este,1.0
528222540,528222646,15 Avenida,39.21,norte-este,1.0
528222646,12196993484,7a Calle,13.86,sur-este,1.0
528222646,528223048,15 Avenida,83.03,norte-este,1.0
528223038,528223048,6a Calle,13.14,sur-este,1.0
528223038,12182615083,15 Avenida,43.96,sur-oeste,1.0
528223038,528171278,6a Calle,120.2,norte-oeste,1.0
528223048,528223038,6a Calle,13.14,norte-oeste,1.0
528223048,528223778,6a Calle,79.5,sur-este,1.0
528223048,528223220,15 Avenida,212.41,norte-este,1.0
528223050,528223778,6a Calle,80.9,norte-oeste,1.0
528223050,4100532182,Avenida Las Américas,124.12,sur-oeste,1.0
528223064,528223218,5a Calle,119.96,sur-este,1.0
528223064,957679530,Avenida Hincapié,120.16,norte-este,1.0
528223064,528171278,Avenida Hincapié,207.91,sur-oeste,1.0
528223218,528223038,15 Avenida,212.11,sur-oeste,1.0
528223220,528223235,15 Avenida,28.37,norte-este,1.0
528223220,12096939657,5a Calle,72.16,sur-este,1.0
528223222,528223778,15 Avenida A,209.52,sur-oeste,1.0
528223222,3820014867,5a Calle,75.59,sur-este,1.0
528223222,12096939658,15 Avenida A,11.4,norte-este,1.0
528223226,3820014869,Avenida Las Américas,5.89,sur-oeste,1.0
528223235,410450393,15 Avenida,145.03,norte-este,1.0
528223322,12096939657,15 Avenida A,13.24,sur-oeste,1.0
528223322,528223235,5a Calle,78.27,norte-oeste,1.0
528223322,2456948630,15 Avenida A,197.85,norte-este,1.0
528223368,2456948630,2a Calle,65.23,sur-este,1.0
528223370,11867040947,Avenida Las Américas,160.25,sur-oeste,1.0
528223370,2456948630,2a Calle,108.22,norte-oeste,1.0
528223778,528223222,15 Avenida A,209.52,norte-este,1.0
528223778,528223050,6a Calle,80.9,sur-este,1.0
528223778,528223048,6a Calle,79.5,norte-oeste,1.0
603170052,283273701,6a Avenida,33.56,sur-oeste,1.0
603170062,11825678559,Calle Montúfar,34.55,norte-oeste,1.0
603170062,603170069,Sin nombre,192.43,norte-oeste,1.0
603170063,6135927164,Diagonal 12,149.98,norte-oeste,1.0
603170063,603170062,Calle Montúfar,25.03,norte-oeste,1.0
603170084,6135927153,Boulevard Liberación,6.71,sur-este,1.0
603170113,603170069,Boulevard Liberación,239.73,norte-oeste,1.0
611744650,528171280,8a Calle,69.35,norte-oeste,1.0
611873524,410699007,9a Calle,50.54,norte-oeste,1.0
611873524,429840030,9a Calle,50.41,sur-este,1.0
616286902,631824855,13 Calle,30.55,norte-oeste,1.0
616286902,12318905768,6a Avenida A,191.76,sur-oeste,1.0
631824855,990336926,6a Avenida A,139.76,norte-este,1.0
631824855,956415284,13 Calle,49.3,norte-oeste,1.0
631824894,528214672,11 Calle,85.92,sur-este,1.0
631824894,5399456164,Sin nombre,44.21,norte-este,1.0
631825279,4066825507,Sin nombre,66.93,sur-este,1.0
631825279,410450475,Boulevard Liberación,194.01,sur-este,1.0
631825286,410449859,Boulevard Liberación,125.96,norte-oeste,1.0
708248852,283273701,Sin nombre,33.32,sur-oeste,1.0
708248852,11825678559,Sin nombre,43.22,sur-este,1.0
726943232,479440905,14 Calle,9.66,sur-este,1.0
754617198,957679530,3a Calle,46.29,norte-oeste,1.0
790843467,479440921,13 Calle,67.05,norte-oeste,1.0
790843467,479440908,5a Avenida A,191.05,sur-oeste,1.0
808125500,808125566,2a Avenida,139.01,sur-oeste,1.0
808125500,283273736,11 Calle,107.89,norte-oeste,1.0
808125566,1972994302,Calle Montúfar,230.83,norte-oeste,1.0
956415284,410443328,6a Avenida,191.5,sur-oeste,1.0
