id,lat,lon,nombre,tipo,street_count,direccion
516392130,14.5971177,-90.5174596,Interseccion_112,interseccion,3,"Avenida Reforma, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528142594,14.5861209,-90.5203616,Interseccion_113,interseccion,3,"10a Calle, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528142720,14.585439,-90.5205548,Interseccion_114,interseccion,3,"Avenida Las Américas, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528148701,14.5892196,-90.5185846,Interseccion_115,interseccion,3,"2a Avenida, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528171278,14.5909588,-90.522334,Interseccion_116,interseccion,3,"Avenida Hincapié, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528171280,14.5893828,-90.5227609,Interseccion_117,interseccion,3,"8a Calle, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528176344,14.5865312,-90.5236459,Interseccion_118,interseccion,3,"Avenida Hincapié, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528176351,14.5862968,-90.5231951,Interseccion_119,interseccion,3,"11 Calle, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528176508,14.5864298,-90.5226297,Interseccion_120,interseccion,3,"11 Calle, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528177349,14.5861979,-90.5236892,Interseccion_121,interseccion,3,"Avenida Hincapié, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528177352,14.5859884,-90.5238127,Interseccion_122,interseccion,3,"Avenida Hincapié, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528177373,14.5865954,-90.5231484,Interseccion_123,interseccion,3,"11 Calle, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528178078,14.5870649,-90.5234573,Interseccion_124,interseccion,4,"Avenida Hincapié, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528202615,14.5863771,-90.5224647,Interseccion_125,interseccion,3,"Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528202619,14.5861369,-90.5225433,Interseccion_126,interseccion,3,"Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528202621,14.5860987,-90.5225038,Interseccion_127,interseccion,3,"Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528202623,14.5860709,-90.5223918,Interseccion_128,interseccion,3,"Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528202626,14.5863225,-90.5222786,Interseccion_129,interseccion,3,"11 Calle, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528202628,14.5863579,-90.5223163,Interseccion_130,interseccion,3,"Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528202630,14.5863849,-90.522431,Interseccion_131,interseccion,3,"Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528214431,14.5859805,-90.521214,Interseccion_132,interseccion,3,"11 Calle, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
528214672,14.5852552,-90.5211207,Interseccion_133,interseccion,3,"11 Calle, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
